from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
55665,55665,2024-05-14_60105_0,2024-05-14_60105_1,1
65300,65300,2024-05-15_13104-5_0,2024-05-15_13104-5_1,1
65300,65300,2024-05-15_13106-7_0,2024-05-15_13106-7_1,1
55665,55665,2024-05-15_16100-1_0,2024-05-15_16100-1_1,1
55665,55665,2024-05-15_16170-1_0,2024-05-15_16170-1_1,1
49205,49205,2024-05-15_31104-5_0,2024-05-15_31104-5_1,1
49205,49205,2024-05-15_31106-7_0,2024-05-15_31106-7_1,1
55665,55665,2024-05-15_36102-3_0,2024-05-15_36102-3_1,1
55665,55665,2024-05-15_36106-7_0,2024-05-15_36106-7_1,1
55665,55665,2024-05-15_5600-1_0,2024-05-15_5600-1_1,1
55665,55665,2024-05-15_60105_0,2024-05-15_60105_1,1
65300,65300,2024-05-16_13104-5_0,2024-05-16_13104-5_1,1
65300,65300,2024-05-16_13106-7_0,2024-05-16_13106-7_1,1
55665,55665,2024-05-16_16100-1_0,2024-05-16_16100-1_1,1
55665,55665,2024-05-16_16170-1_0,2024-05-16_16170-1_1,1
49205,49205,2024-05-16_31104-5_0,2024-05-16_31104-5_1,1
49205,49205,2024-05-16_31106-7_0,2024-05-16_31106-7_1,1
55665,55665,2024-05-16_36102-3_0,2024-05-16_36102-3_1,1
55665,55665,2024-05-16_36106-7_0,2024-05-16_36106-7_1,1
55665,55665,2024-05-16_5600-1_0,2024-05-16_5600-1_1,1
55665,55665,2024-05-16_60105_0,2024-05-16_60105_1,1
65300,65300,2024-05-17_13104-5_0,2024-05-17_13104-5_1,1
65300,65300,2024-05-17_13106-7_0,2024-05-17_13106-7_1,1
55665,55665,2024-05-17_16100-1_0,2024-05-17_16100-1_1,1
55665,55665,2024-05-17_16170-1_0,2024-05-17_16170-1_1,1
49205,49205,2024-05-17_31104-5_0,2024-05-17_31104-5_1,1
49205,49205,2024-05-17_31106-7_0,2024-05-17_31106-7_1,1
55665,55665,2024-05-17_36102-3_0,2024-05-17_36102-3_1,1
55665,55665,2024-05-17_36106-7_0,2024-05-17_36106-7_1,1
55665,55665,2024-05-17_5600-1_0,2024-05-17_5600-1_1,1
55665,55665,2024-05-17_60105_0,2024-05-17_60105_1,1
