service_id,exception_type,date
26,2,20240510
260,1,20240510
260,1,20240511
260,1,20240514
261,1,20240417
261,1,20240418
261,1,20240508
261,1,20240510
261,2,20240423
261,2,20240430
262,1,20240505
262,1,20240512
263,1,20240501
265,2,20240427
266,2,20240511
266,2,20240512
267,1,20240501
267,1,20240509
269,1,20240505
269,1,20240512
269,2,20240418
27,2,20240501
27,2,20240510
27,2,20240511
270,2,20240502
270,2,20240503
270,2,20240505
270,2,20240506
270,2,20240507
270,2,20240508
273,1,20240509
273,2,20240510
275,1,20240421
275,1,20240505
275,2,20240427
277,1,20240421
277,1,20240422
278,1,20240428
279,2,20240511
279,2,20240512
28,1,20240510
281,1,20240424
281,1,20240425
281,1,20240508
281,2,20240416
281,2,20240426
281,2,20240507
282,1,20240511
283,1,20240428
286,1,20240421
286,1,20240505
286,2,20240511
288,1,20240513
289,2,20240501
289,2,20240509
290,1,20240502
290,2,20240503
290,2,20240504
290,2,20240505
290,2,20240506
290,2,20240507
291,1,20240420
291,1,20240509
291,1,20240514
292,1,20240418
293,1,20240501
293,1,20240502
293,1,20240503
293,1,20240504
293,1,20240505
294,1,20240502
294,1,20240503
294,1,20240504
295,2,20240501
295,2,20240509
296,1,20240417
296,1,20240418
296,1,20240502
296,1,20240508
296,2,20240422
296,2,20240423
296,2,20240426
298,2,20240427
299,1,20240417
299,1,20240424
299,2,20240503
299,2,20240504
299,2,20240505
299,2,20240506
299,2,20240507
299,2,20240509
3,1,20240430
30,1,20240501
30,1,20240509
301,2,20240501
301,2,20240504
301,2,20240505
302,2,20240501
302,2,20240504
302,2,20240509
306,2,20240501
307,1,20240505
309,2,20240501
31,1,20240508
311,2,20240423
311,2,20240424
312,2,20240427
313,2,20240430
313,2,20240503
313,2,20240504
313,2,20240505
313,2,20240506
313,2,20240507
313,2,20240508
313,2,20240509
316,2,20240501
316,2,20240504
316,2,20240505
316,2,20240509
317,1,20240509
319,2,20240422
319,2,20240510
321,1,20240503
321,1,20240506
321,1,20240507
321,1,20240508
321,1,20240509
322,2,20240417
322,2,20240418
322,2,20240421
324,1,20240423
326,1,20240501
326,1,20240505
327,2,20240506
328,2,20240424
330,1,20240429
330,1,20240503
331,2,20240427
332,1,20240513
332,1,20240514
333,1,20240427
333,1,20240511
333,2,20240509
335,1,20240420
335,1,20240503
335,1,20240508
335,1,20240509
335,1,20240510
337,2,20240509
337,2,20240510
338,1,20240415
339,1,20240514
342,2,20240510
343,1,20240428
343,1,20240510
344,2,20240505
345,1,20240430
345,1,20240508
346,1,20240430
346,1,20240514
346,2,20240506
347,1,20240427
347,1,20240510
347,1,20240513
347,1,20240514
347,2,20240421
347,2,20240501
349,2,20240422
349,2,20240423
349,2,20240424
349,2,20240425
349,2,20240426
350,1,20240501
350,1,20240502
350,1,20240505
351,1,20240427
351,1,20240428
351,2,20240501
351,2,20240509
351,2,20240510
352,1,20240427
352,1,20240428
352,2,20240501
352,2,20240509
353,2,20240422
353,2,20240501
353,2,20240509
356,1,20240510
356,1,20240511
356,1,20240512
356,1,20240513
356,1,20240514
356,2,20240501
357,2,20240505
357,2,20240512
358,1,20240425
358,1,20240501
358,1,20240509
358,1,20240513
358,1,20240514
36,1,20240429
361,2,20240430
362,2,20240509
362,2,20240510
362,2,20240511
364,2,20240501
366,1,20240424
366,2,20240506
366,2,20240507
366,2,20240509
367,1,20240510
367,1,20240514
367,2,20240501
369,2,20240428
369,2,20240501
37,2,20240501
37,2,20240509
371,1,20240513
371,1,20240514
373,1,20240511
373,1,20240513
373,1,20240514
374,2,20240417
374,2,20240419
375,1,20240427
375,1,20240428
375,1,20240511
375,1,20240512
375,2,20240503
375,2,20240506
375,2,20240507
375,2,20240508
377,1,20240414
377,1,20240419
377,1,20240420
377,2,20240424
377,2,20240425
377,2,20240510
377,2,20240511
378,1,20240503
378,1,20240504
38,1,20240430
380,1,20240512
381,1,20240426
381,1,20240510
381,1,20240511
381,1,20240512
381,1,20240513
381,1,20240514
382,1,20240509
382,2,20240426
382,2,20240427
382,2,20240428
383,1,20240420
383,1,20240421
383,2,20240501
383,2,20240509
383,2,20240510
387,1,20240509
388,1,20240421
388,1,20240512
388,2,20240504
388,2,20240510
39,1,20240414
39,2,20240501
39,2,20240509
390,2,20240421
390,2,20240422
390,2,20240430
390,2,20240501
390,2,20240502
392,1,20240501
392,1,20240512
394,2,20240420
396,1,20240504
396,1,20240505
396,2,20240429
396,2,20240510
399,1,20240421
399,2,20240426
40,2,20240417
402,1,20240510
402,1,20240513
404,1,20240415
404,1,20240416
404,1,20240428
404,1,20240505
404,2,20240510
404,2,20240511
405,1,20240514
408,1,20240424
409,1,20240428
409,1,20240505
409,1,20240509
409,1,20240513
409,1,20240514
409,2,20240420
41,2,20240503
41,2,20240504
41,2,20240505
410,1,20240420
410,1,20240504
410,1,20240509
412,2,20240501
412,2,20240509
413,1,20240503
413,1,20240507
413,1,20240508
413,1,20240513
413,1,20240514
414,2,20240427
414,2,20240428
414,2,20240429
415,1,20240514
418,1,20240420
418,1,20240510
418,1,20240511
418,1,20240512
418,1,20240513
418,1,20240514
423,1,20240504
423,1,20240505
423,2,20240501
423,2,20240509
423,2,20240513
425,1,20240507
425,1,20240508
425,1,20240514
427,2,20240503
429,1,20240427
429,1,20240504
429,2,20240421
429,2,20240510
429,2,20240512
43,2,20240424
43,2,20240503
431,1,20240501
431,1,20240509
431,2,20240420
431,2,20240421
432,2,20240501
432,2,20240509
433,1,20240502
434,1,20240420
434,1,20240428
434,1,20240501
435,1,20240426
44,2,20240427
44,2,20240428
44,2,20240506
44,2,20240512
440,1,20240512
441,1,20240502
444,1,20240420
444,1,20240421
444,1,20240427
444,1,20240428
444,2,20240501
444,2,20240509
445,2,20240501
445,2,20240509
446,1,20240424
447,1,20240424
450,1,20240420
450,1,20240510
454,1,20240509
455,1,20240420
455,1,20240421
455,1,20240511
455,1,20240512
455,2,20240501
455,2,20240509
458,1,20240424
458,1,20240501
458,2,20240430
458,2,20240503
458,2,20240504
459,2,20240506
459,2,20240507
459,2,20240508
46,1,20240510
46,1,20240513
46,1,20240514
46,2,20240422
46,2,20240423
46,2,20240501
460,2,20240505
463,2,20240501
463,2,20240506
463,2,20240507
463,2,20240509
464,1,20240509
468,1,20240501
468,1,20240505
468,1,20240509
469,1,20240426
47,2,20240509
476,2,20240420
476,2,20240421
476,2,20240422
476,2,20240423
477,1,20240427
477,1,20240507
477,1,20240508
477,1,20240514
477,2,20240421
477,2,20240422
478,1,20240420
478,1,20240430
479,1,20240420
479,1,20240511
482,1,20240414
482,1,20240504
482,1,20240505
483,1,20240429
483,1,20240430
484,1,20240420
484,1,20240503
484,1,20240504
486,2,20240506
487,1,20240428
488,1,20240501
489,1,20240514
489,2,20240421
489,2,20240422
490,1,20240421
490,1,20240428
490,2,20240511
491,1,20240508
492,1,20240424
492,2,20240504
492,2,20240505
492,2,20240506
492,2,20240507
492,2,20240509
494,2,20240427
494,2,20240501
494,2,20240509
495,1,20240424
495,2,20240509
498,2,20240501
498,2,20240509
5,1,20240501
5,1,20240509
50,2,20240508
50,2,20240510
501,1,20240414
501,1,20240428
502,2,20240420
502,2,20240421
505,1,20240419
505,1,20240512
506,1,20240414
506,1,20240420
506,1,20240424
506,1,20240425
506,1,20240502
506,1,20240508
507,1,20240420
507,1,20240421
507,1,20240510
507,1,20240511
507,1,20240512
507,1,20240513
507,1,20240514
507,2,20240422
507,2,20240501
508,1,20240420
508,1,20240510
508,1,20240511
508,1,20240512
508,1,20240513
508,1,20240514
508,2,20240428
508,2,20240501
509,1,20240507
510,2,20240501
510,2,20240509
510,2,20240510
510,2,20240513
511,1,20240509
514,1,20240427
516,1,20240514
517,1,20240504
517,2,20240501
517,2,20240509
518,2,20240418
519,2,20240418
52,1,20240414
52,1,20240511
521,1,20240420
521,1,20240505
523,1,20240417
523,1,20240424
523,2,20240507
523,2,20240509
523,2,20240510
527,1,20240427
528,1,20240511
528,2,20240505
53,1,20240417
53,1,20240424
53,2,20240507
53,2,20240509
53,2,20240510
530,2,20240427
531,1,20240418
531,1,20240419
531,1,20240509
531,1,20240510
531,2,20240428
531,2,20240429
531,2,20240430
531,2,20240501
533,1,20240509
535,1,20240427
535,2,20240421
536,1,20240501
536,1,20240509
538,2,20240430
538,2,20240501
538,2,20240502
538,2,20240505
539,1,20240427
539,1,20240510
539,1,20240511
539,1,20240513
539,1,20240514
539,2,20240501
540,2,20240501
540,2,20240509
541,1,20240414
541,1,20240513
544,1,20240419
544,1,20240430
544,1,20240508
544,2,20240507
547,2,20240506
547,2,20240507
547,2,20240508
549,2,20240422
549,2,20240423
549,2,20240424
551,1,20240509
551,2,20240427
553,2,20240420
553,2,20240421
554,1,20240417
554,2,20240422
554,2,20240423
556,1,20240417
556,1,20240424
556,2,20240503
556,2,20240504
556,2,20240506
556,2,20240507
556,2,20240509
558,1,20240428
56,1,20240430
56,1,20240508
56,2,20240510
563,1,20240508
564,2,20240504
566,1,20240419
566,1,20240509
566,2,20240504
566,2,20240505
568,2,20240426
568,2,20240428
568,2,20240429
57,1,20240505
57,1,20240512
570,2,20240501
570,2,20240509
572,1,20240509
572,2,20240505
574,1,20240504
574,1,20240505
574,1,20240509
575,2,20240425
576,2,20240505
577,2,20240509
577,2,20240510
578,1,20240510
578,1,20240513
578,1,20240514
579,1,20240501
579,2,20240504
58,2,20240501
58,2,20240509
58,2,20240510
58,2,20240513
580,1,20240501
580,1,20240509
